Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
11/05/2022,09:30,7747683,,GotSport,Soccer,U-10,DELRAN FC SOCCERDELRAN FC UNITED 2013,CINNAMINSON SC THUNDERBIRDS 2013,DELRAN - VERMES,S7,
11/05/2022,11:00,7810510,,GotSport,Soccer,U-9,WASHINGTON TWP SOCCER CLUB WHITE 2014,HADDON TWP SOCCER CLUB GREY HAWKS 2014,WASHINGTON TWP- H.S.,S7,
11/05/2022,11:00,7723893,,GotSport,Soccer,U-8,RANCOCAS VALLEY SC BOYS 2015,VOORHEES SA B TEAM 2015 ,Rancocas Vallley-HAINESPORT MUNICIPAL PARK,,
11/05/2022,16:30,7745439,,GotSport,Soccer,U-8,MARLTON SOCCER CLUBMARLTON SC CHIEFS ORANGE 2015,HADDON TWP SOCCER CLUB RED HAWKS 2015,MARLTON - MEMORIAL,,
11/06/2022,10:45,7810233,,GotSport,Soccer,U-10,WINSLOW TOWNSHIP YSA SHARKS 2013,FRANKLIN TOWNSHIP YOUTH SOCCER ASSOCIATION ENFORCERS 2013,WINSLOW TWP - PETER VOLPA,S7,
11/06/2022,11:00,7724847,,GotSport,Soccer,U-15,WEST DEPTFORD SC VIPERS 2008,HARRISON SC TITANS 2008,W DEPTFORD-WD PARK,,
11/06/2022,11:00,7809418,,GotSport,Soccer,U-12,BORDENTOWN FC JAGUARS 2011,BORDENTOWN FC RENEGADES 2011,BORDENTOWN - FRIENDSHIP FIELDS,S9,
11/06/2022,11:00,7728893,,GotSport,Soccer,U-11,MOORESTOWN SC LIGHTNING 2012,NORTHERN BURLINGTON SA RANGERS 2012,MOORESTOWN - SALEM RD/PRYOR PARK,S1,
11/06/2022,11:00,7810446,,GotSport,Soccer,U-11,CLAYTON SA CLIPPERS 2012,LOGAN SOCCER CLUB FUSION 2012,CLAYTON - BENTZ,S9,
11/06/2022,11:00,7739095,,GotSport,Soccer,U-14,SENECA UNITED SC EAGLES 2009 ,NORTHERN BURLINGTON SA BULLDOGS 2009,SENECA - STONEY CREEK FIELDS,F1,
11/06/2022,11:00,7807135,,GotSport,Soccer,U-16,EAST GREENWICH SA HORNETS 2007,WASHINGTON TWP SOCCER CLUB SPARTANS 2007,E GREENWICH - THOMPSON FAMILY PARK,F2,
11/06/2022,11:00,7709790,,GotSport,Soccer,U-11,MEDFORD SC DESTROYERS 2012,BURLINGTON TOWNSHIP SOCCER DRAGONS 2012,MEDFORD - BENDE PARK,S9,
11/06/2022,11:00,7830068,,GotSport,Soccer,U-14,COHANSEY SC STORM 2009,PENNS GROVE SC HEAT 2009,COHANSEY,,
11/06/2022,11:00,7808128,,GotSport,Soccer,U-18,HIGHLAND YOUTH SOCCER CLUB THRASHERS 2006,GATEWAY UNITED SOCCER CLUB WARRIORS 2006,HIGHLAND - GLOUCESTER TWP PARK,F1,
11/06/2022,11:30,7709895,,GotSport,Soccer,U-8,WASHINGTON TWP SOCCER CLUB RED 2015,DEPTFORD SADEPTFORD PREMIER FC FUSION 2015,WASHINGTON TWP. - Levy Fields (Virtua),WASHINGTON TWP. - VIRTUA S7,
11/06/2022,11:30,7809532,,GotSport,Soccer,U-8,CINNAMINSON SC RAPTORS 2015,MEDFORD SC BLUE 2015,CINNAMINSON SC - MEMORIAL,S7,
11/06/2022,11:30,7710531,,GotSport,Soccer,U-11,WASHINGTON TWP SOCCER CLUB PREDATORS 2012,LOGAN SOCCER CLUB FORCE 2012,WASHINGTON TWP-WASH LAKE PARK,S7,
11/06/2022,11:30,8014848,,GotSport,Soccer,U-12,PALMYRA RIVERTON SC WARRIORS 2011,CINNAMINSON SC STORM 2011,PAL-RIV - Charles Street School,,
11/06/2022,11:30,7711170,,GotSport,Soccer,U-12,HADDON TWP SOCCER CLUB RED HAWKS 2011,HADDON HEIGHTS SC SPURS 2011,,,
11/06/2022,11:30,7972265,,GotSport,Soccer,U-13,CHERRY HILL SC THUNDERBOLTS 2010,VINELAND SA REBELS 2010,CHSC - CH WEST HS,F1,
11/06/2022,11:30,7748611,,GotSport,Soccer,U-10,MOUNT LAUREL UNITED (MLU)OUNT LAUREL UNITED (MLU) MOUNT LAUREL UNITED COMETS 2013,WASHINGTON UNITED SOCCER CLUBWUSC 2013,MLU-TROTTERS,,
11/06/2022,11:30,7987559,,GotSport,Soccer,U-11,VINELAND SA JERSEY BOYZ 2012,MARLTON SOCCER CLUBMARLTON SC CHIEFS WHITE 2012,VINELAND SA,S9,
11/06/2022,11:45,7710842,,GotSport,Soccer,U-10,PITTSGROVE SOCCER CLUB DRAGONS 2013,RANCOCAS VALLEY SC MESSI 2013,,,
11/06/2022,12:00,7849688,,GotSport,Soccer,U-9,MOUNT LAUREL UNITED (MLU)OUNT LAUREL UNITED (MLU) MOUNT LAUREL UNITED COBRAS 2014,MOORESTOWN SC GUARDIANS 2014,MLU-TROTTERS,,
11/06/2022,12:00,7709791,,GotSport,Soccer,U-11,MONROE TOWNSHIP YS UNITED 2012,TBAA JAGUARS 2012,MONROE TWP - CORKERY LANE,,
11/06/2022,12:00,7709852,,GotSport,Soccer,U-13,SWEDESBORO WOOLWICH SOCCER ASSOC. BLACK MAMBAS 2011,CHERRY HILL SC STORM 2011,,,
11/06/2022,12:00,7808089,,GotSport,Soccer,U-15,VOORHEES SAVOORHEES AVATAR 2008,MONROE TOWNSHIP YS UNITED BLUE 2008,VOORHEES-EASTERN HS,,
11/06/2022,12:00,7971839,,GotSport,Soccer,U-14,HARRISON SC BLUE DEVILS 2009,MEDFORD SC GOLD 2009,HARRISON - William Wilt Soccer Complex,F1,
11/06/2022,12:00,7710869,,GotSport,Soccer,U-10,VOORHEES SA RAPTORS 2013,MEDFORD SC MAYHEM 2013,VOORHEES-Echelon Complex,,
11/06/2022,12:00,7807134,,GotSport,Soccer,U-16,PALMYRA RIVERTON SC FLASH 2007,FRANKLIN TOWNSHIP YOUTH SOCCER ASSOCIATION SAVAGES 2007,PAL-RIV - LEGION FIELD,F1,
11/06/2022,12:00,7726446,,GotSport,Soccer,U-15,WASHINGTON TWP SOCCER CLUB MINUTEMEN 2008,WOODBURY SOCCER CLUBWOODBURY SPITFIRES 2008,WASHINGTON TWP-WASH LAKE PARK,F2,
11/06/2022,12:00,7726505,,GotSport,Soccer,U-12,MOUNT LAUREL UNITED (MLU)OUNT LAUREL UNITED (MLU) MOUNT LAUREL UNITED WARRIORS 2011,NORTHERN BURLINGTON SA HOOLIGANS 2011,MLU-TROTTERS,,
11/06/2022,12:00,7739855,,GotSport,Soccer,U-13,PENNSVILLE SOCCER ASSOCIATION EAGLES 2010*,GATEWAY UNITED SOCCER CLUB JAGUARS 2010,PENNSVILLE,F1,
11/06/2022,12:00,7828446,,GotSport,Soccer,U-12,HADDONFIELD SC BLACK 2011,BARRINGTON SC RED BULLS 2011,HADDONFIELD - CROWS WOODS,S9,
11/06/2022,12:00,7808158,,GotSport,Soccer,U-19,MARLTON SOCCER CLUBMARLTON SC CHIEFS WHITE 2004,TBAA RAMPAGE 2004,MARLTON - CHEROKEE HS,,
11/06/2022,12:00,7808159,,GotSport,Soccer,U-19,TBAA COSMOS 2005,DEPTFORD SA RAPTORS 2006,TBAA-VALLEY BROOK,,
11/06/2022,12:00,7810589,,GotSport,Soccer,U-16,PITTSGROVE SOCCER CLUB JUVENTUS 2007,HIGHLAND YOUTH SOCCER CLUB SIEGE 2007,,,
11/06/2022,12:00,7724846,,GotSport,Soccer,U-15,HADDONFIELD SCHADDONFIELD RED 2008,MEDFORD SC WHITE 2008,HADDONFIELD - CROWS WOODS,F1,
11/06/2022,12:00,7726447,,GotSport,Soccer,U-15,TAR-KILL SOCCER CLUB BLUE DRAGONS 2008,GATEWAY UNITED SOCCER CLUB HURRICANES 2008,TARKILL-STERLING HS,F1,
