ID,Date,Start Time,Age,Home Team,Away Team,Venue,Pitch
5208159,10/17/21,12:00 PM,U12,Northern Burlington SA Northern Burlington SA Blast 2010,Haddonfield SC Haddonfield SC Black 2010,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 9 V 9 Fields
5208525,10/17/21,12:00 PM,U10,Medford SC Medford SC Navy 2012,Deptford SA Deptford Venom 2012,Bob Bende Park,Matrix Field 4
5207835,10/17/21,1:30 PM,U9,Medford SC Medford SC Blue Devils 2013,Pitman SA Pitman SA Tigers 2013,Bob Bende Park,Matrix Field 4
5207899,10/17/21,1:30 PM,U13,Marlton Recreation Council Marlton SC Chiefs White 2009 (Vare),Logan Soccer Club  Logan Rebels 2009,Marlton Memorial Sports Complex,M1 Turf Field F1
5208108,10/17/21,3:00 PM,U8,Northern Burlington SA Northern Burlington SA Blue Devils 2014,Cinnaminson SC Cinnaminson SC Chargers 2014,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 7 V 7 Fields
5225972,10/17/21,3:00 PM,U10,Medford SC Medford SC Destroyers 2012,Mantua Township SA Mantua Township SA Fury 2012,Bob Bende Park,Matrix Field 4
5208134,10/24/21,12:00 PM,U10,Northern Burlington SA Northern Burlington SA Rangers 2012,Seneca United SC Seneca United SC Destroyers 2012,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 7 V 7 Fields
5208540,10/24/21,12:00 PM,U10,Medford SC Medford SC Navy 2012,Rancocas Valley SC Rancocas Valley SC Avengers 2012,Bob Bende Park,Matrix Field 4
5207545,10/24/21,1:30 PM,U9,Medford SC Medford SC Columbia 2013,Marlton Recreation Council Marlton SC Chiefs Black 2013 (Plum),Bob Bende Park,Matrix Field 4
5208115,10/24/21,1:30 PM,U8,Northern Burlington SA Northern Burlington SA Blue Devils 2014,Mount Laurel United Mount Laurel United Cobras 2014,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 7 V 7 Fields
5208171,10/24/21,2:00 PM,U12,Northern Burlington SA Northern Burlington SA Blast 2010,Mount Laurel United Mount Laurel United Force 2010,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 9 V 9 Fields
5225978,10/24/21,3:00 PM,U10,Medford SC Medford SC Destroyers 2012,Washington TWP Soccer Club Washington Twp SC Rebels 2012,Bob Bende Park,Matrix Field 4
5208880,10/24/21,3:30 PM,U11,Northern Burlington SA Northern Burlington SA Hooligans 2011,Cohansey SC Cohansey SC Blues 2011,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 9 V 9 Fields
5208325,10/31/21,10:30 AM,U12,Egg Harbor Township SC Egg Harbor SC Eagles 2010,Cherry Hill SC Cherry Hill SC Rage 2010,Egg Harbor SC-Bargaintown Park,9v9 Field
5207826,10/31/21,11:00 AM,U9,Medford SC Medford SC Blue Devils 2013,Cherry Hill SC Cherry Hill SC Thunder 2013,Bob Bende Park,Matrix Field 4
5207893,10/31/21,12:00 PM,U13,Marlton Recreation Council Marlton SC Chiefs White 2009 (Vare),Medford SC Medford SC Lightning 2009,Marlton-Cherokee High School Turf,Cherokee HS Main Turf F1.2
5226204,10/31/21,12:30 PM,U8,Medford SC Medford SC Force 2014,Cherry Hill SC CHERRY HILL SC United BOYS 2014,Bob Bende Park,Matrix Field 4
5223170,10/31/21,1:30 PM,U14,Marlton Recreation Council Marlton SC Chiefs White 2008 (Hummel),Berlin Soccer Club Berlin SC Savages 2008,Marlton-Cherokee High School Turf,Cherokee HS Main Turf F1.2
5208821,10/31/21,2:00 PM,U8,Medford SC Medford SC Avengers 2014,Cherry Hill SC CHERRY HILL SC Force 2014,Bob Bende Park,Matrix Field 4
5208537,10/31/21,3:30 PM,U10,Medford SC Medford SC Navy 2012,Upper Township SA Upper Township SA Force White 2012,Bob Bende Park,Matrix Field 4
5208900,10/31/21,3:30 PM,U11,Northern Burlington SA Northern Burlington SA Hooligans 2011,Seneca United SC Seneca United SC Warriors 2011,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 9 V 9 Fields
5207838,11/7/21,12:00 PM,U9,Medford SC Medford SC Blue Devils 2013,Pennsauken Youth Soccer Club Pennsauken Rebels 2013,Bob Bende Park,Matrix Field 4
5208167,11/7/21,12:00 PM,U12,Northern Burlington SA Northern Burlington SA Blast 2010,Pitman SA Pitman SA Cougars 2010,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 9 V 9 Fields
5208637,11/7/21,12:00 PM,U16,Marlton Recreation Council Marlton SC Chiefs Orange 2006 (Perkins),Penns Grove SC Penns Grove SC Storm 2006,Marlton-Cherokee High School Turf,Cherokee HS Main Turf F1.2
5207528,11/7/21,1:30 PM,U9,Medford SC Medford SC Columbia 2013,Cherry Hill SC CHERRY HILL SC Force 2013,Bob Bende Park,Matrix Field 4
5207890,11/7/21,1:30 PM,U13,Marlton Recreation Council Marlton SC Chiefs White 2009 (Vare),Voorhees SA Voorhees SA Ambush 2009,Marlton-Cherokee High School Turf,Cherokee HS Main Turf F1.2
5207646,11/7/21,3:00 PM,U8,Gloucester County Union Inc GCU U8 2014,Pitman SA Pitman SA Bengals 2014,Gloucester County Union Soccer Club,Field 2-S7
5226222,11/7/21,3:00 PM,U8,Medford SC Medford SC Force 2014,Washington TWP Soccer Club Washington Twp SC Red 2014,Bob Bende Park,Matrix Field 4
5207534,11/14/21,12:00 PM,U9,Medford SC Medford SC Columbia 2013,Mount Laurel United Mount Laurel United Tigers 2013,Bob Bende Park,Matrix Field 4
5208829,11/14/21,1:30 PM,U8,Medford SC Medford SC Avengers 2014,Gateway United Soccer Club Gateway United SC Boys 2014,Bob Bende Park,Matrix Field 4
5226219,11/14/21,3:00 PM,U8,Medford SC Medford SC Force 2014,Mount Laurel United Mount Laurel United Lightning 2014,Bob Bende Park,Matrix Field 4
5208878,11/14/21,3:30 PM,U11,Northern Burlington SA Northern Burlington SA Hooligans 2011,Medford SC Medford SC Columbia 2011,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 9 V 9 Fields
5208155,11/21/21,11:00 AM,U12,Northern Burlington SA Northern Burlington SA Blast 2010,Barrington SC Barrington SC Red Bulls 2010,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 9 V 9 Fields
5208532,11/21/21,12:00 PM,U10,Medford SC Medford SC Navy 2012,East Greenwich SA EGSA Warriors 2012,Bob Bende Park,Matrix Field 4
5225986,11/21/21,1:30 PM,U10,Medford SC Medford SC Destroyers 2012,Egg Harbor Township SC Egg Harbor SC Eagles Black 2012,Bob Bende Park,Matrix Field 4
5208128,11/21/21,2:00 PM,U10,Northern Burlington SA Northern Burlington SA Rangers 2012,Haddonfield SC Haddonfield SC White 2012,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 7 V 7 Fields
5207844,11/21/21,3:00 PM,U9,Medford SC Medford SC Blue Devils 2013,Mantua Township SA Mantua Township SA Wolves 2013,Bob Bende Park,Matrix Field 4
5207903,11/21/21,3:00 PM,U13,Marlton Recreation Council Marlton SC Chiefs White 2009 (Vare),Cape Express SC Cape Express SC Thunder 2009,Marlton Memorial Sports Complex,M1 Turf Field F1
5208110,11/21/21,3:30 PM,U8,Northern Burlington SA Northern Burlington SA Blue Devils 2014,Voorhees SA Voorhees SA Ateam 2014,Northern Burlington Springfield Veterans Park,Northern Burlington Springfield 7 V 7 Fields
