Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
03/06/2022,13:40 ,,6195649,GotSport,Soccer,U-14,Highland Youth Soccer Club Highland Galaxy 2008,DELRAN LIONS 2008,HIGHLAND - GLOUCESTER TWP PARK,,
03/06/2022,13:50 ,,6207758,GotSport,Soccer,U-13,EGSA THUNDER 2009,Atlantic United Soccer Club Atlantic United Premier Kickers 2009 B,E GREENWICH - THOMPSON FAMILY PARK,,
03/06/2022,14:15 ,,6189845,GotSport,Soccer,U-9,MANTUA TOWNSHIP SA WOLVES 2013,Atlantic United Soccer Club Atlantic United Premier Kickers 2013 B,MANTUA TWP,,
03/06/2022,14:30 ,,6210737,GotSport,Soccer,U-11,CHERRY HILL SC BLUE ARMY 2012,Marlton Recreation Council Marlton SC Chiefs Orange 2011,CHSC - CH WEST HS,,
03/06/2022,14:30 ,,6225841,GotSport,Soccer,U-10,DEPTFORD THUNDER 2012,Vineland SA Jersey Boyz 2012,DEPTFORD SC,,
03/06/2022,15:10 ,,6195633,GotSport,Soccer,U-14,Cherry Hill FC 2008 Rage,EGG HARBOR SC EAGLES 2008,CHFC - DeCOU,,
03/06/2022,15:20 ,,6207475,GotSport,Soccer,U-15,EGSA HORNETS 2007,Atlantic United Soccer Club Atlantic United Premier Kickers 2007,E GREENWICH - THOMPSON FAMILY PARK,,
03/06/2022,15:30 ,,6170580,GotSport,Soccer,U-11,Palmyra Riverton SC Warriors Black 2011,Moorestown SC Black Knights 2011,PAL-RIV - Charles Street School,,
03/06/2022,15:30 ,,6213362,GotSport,Soccer,U-8,West Deptford SC Eagles 2014,Pennsauken Youth Soccer Club Avengers 2014,W DEPTFORD-WD PARK,,
03/06/2022,15:45 ,,6176560,GotSport,Soccer,U-8,Deptford SA Deptford Premier 2014 Gray,Highland Youth Soccer Club Highland Thunder 2014,DEPTFORD SC,,
03/13/2022,12:00 ,,6170584,GotSport,Soccer,U-11,DELRAN FC BLAST 2011,Palmyra Riverton SC Warriors Black 2011,DELRAN - VERMES,S9,
03/13/2022,12:30 ,,6207476,GotSport,Soccer,U-15,EGSA HORNETS 2007,Edgewater Park Athletic Association EP Phoenix 2007,E GREENWICH - THOMPSON FAMILY PARK,,
03/13/2022,12:30 ,,6176557,GotSport,Soccer,U-8,PITMAN SA BENGALS 2014,Deptford SA Deptford Premier 2014 Gray,PITMAN - Lambs Road,S1,
03/13/2022,14:00 ,,6195652,GotSport,Soccer,U-14,Pennsauken Youth Soccer Club Fury 2008,Highland Youth Soccer Club Highland Galaxy 2008,Pennsauken Community Recreation Facility,F1,
03/13/2022,14:15 ,,6225847,GotSport,Soccer,U-10,DEPTFORD THUNDER 2012,Moorestown SC Lightning 2012,DEPTFORD SC,S7,
03/13/2022,14:30 ,,6189838,GotSport,Soccer,U-9,Delran FC Soccer DELRAN FC 2013 UNITED,MANTUA TOWNSHIP SA WOLVES 2013,DELRAN - VERMES,S7,
03/13/2022,14:30 ,,6210725,GotSport,Soccer,U-11,CHERRY HILL SC BLUE ARMY 2012,MEDFORD SC RENEGADES 2011,CHSC - UPPER CHAPEL TURF,S9,
03/13/2022,15:30 ,,6207768,GotSport,Soccer,U-13,HADDON TWP WHITE HAWKS 2009,EGSA THUNDER 2009,HADDON TWP - RECCHINO FIELDS,F1,
03/13/2022,15:30 ,,6195635,GotSport,Soccer,U-14,DELRAN LIONS 2008,Cherry Hill FC 2008 Rage,DELRAN - VERMES,F1,
03/13/2022,15:45 ,,6213353,GotSport,Soccer,U-8,Haddonfield SC Rebels 2014,West Deptford SC Eagles 2014,HADDONFIELD - CROWS WOODS,S7,
03/20/2022,12:00 ,,6207776,GotSport,Soccer,U-13,EGSA THUNDER 2009,DEPTFORD REBELS 2009,E GREENWICH - THOMPSON FAMILY PARK,,
03/20/2022,13:00 ,,6225845,GotSport,Soccer,U-10,Pittsgrove Soccer Club Pittsgrove Spurs '12,DEPTFORD THUNDER 2012,PITTSGROVE-GREEN BRANCH,S7,
03/20/2022,13:00 ,,6210727,GotSport,Soccer,U-11,Pennsauken Youth Soccer Club Warriors 2011,CHERRY HILL SC BLUE ARMY 2012,Pennsauken Community Recreation Facility,S9,
03/20/2022,13:30 ,,6207479,GotSport,Soccer,U-15,Mount Laurel United Phantoms 2007,EGSA HORNETS 2007,MLU-TROTTERS,F1,
03/20/2022,14:15 ,,6189842,GotSport,Soccer,U-9,MANTUA TOWNSHIP SA WOLVES 2013,CHERRY HILL SC THUNDER 2013,MANTUA TWP,,
03/20/2022,14:30 ,,6213356,GotSport,Soccer,U-8,West Deptford SC Eagles 2014,Seneca United SC 2014 Thunder,W DEPTFORD-WD PARK,,
