Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
03/06/2022,11:00 ,,6170570,GotSport,Soccer,U-14,Gateway United Soccer Club Hurricanes 2008,Washington TWP Soccer Club Minutemen 2008,GATEWAY UTD. - LANGSTON FIELD,F1,
03/06/2022,12:00 ,,6168905,GotSport,Soccer,U-10,UPPER TOWNSHIP SA FORCE WHITE 2012,EGG HARBOR SC EAGLES WHITE 2012,UPPER TWP-Amanda's Field Complex,S7,
03/06/2022,12:00 ,,6221514,GotSport,Soccer,U-10,HADDON TWP GREY HAWKS 2012,Logan Soccer Club  Logan Fusion 2012,HADDON TWP - CRYSTAL LAKE,S7,
03/06/2022,12:00 ,,6168840,GotSport,Soccer,U-15,WOODSTOWN WOLVERINES 2007,Franklin Township Youth Soccer Association Savages 2007,WOODSTOWN,F1,
03/06/2022,12:00 ,,6130813,GotSport,Soccer,U-18,Collingswood Travel Soccer Club Arsenal 2005,Voorhees SA Union 2005,COLLINGSWOOD - KROC CENTER,FS,
03/06/2022,12:00 ,,6170769,GotSport,Soccer,U-15,Rancocas Valley SC Rancocas Valley SC United 2007,CHERRY HILL SC GALAXY 2007,Rancocas Vallley-HAINESPORT MUNICIPAL PARK,F1,
03/06/2022,12:00 ,,6167409,GotSport,Soccer,U-12,HAMMONTON YOUTH HEAT 2010,MAINLAND UNITED SA SHARKS 2010,HAMMONTON ECEC Fields,S9,
03/06/2022,12:00 ,,6167518,GotSport,Soccer,U-18,MARLTON SC CHIEFS WHITE 2004,TBAA RAMPAGE 2005,MARLTON - MEMORIAL,F1,
03/06/2022,12:00 ,,6168379,GotSport,Soccer,U-11,Collingswood Travel Soccer Club Wild 2011,Burlington Township Soccer Rebels 2011,COLLINGSWOOD SC- CAMDEN PREP,COLLINGSWOOD SC- CAMDEN PREP COPEWOOD EL,
03/06/2022,12:00 ,,6171696,GotSport,Soccer,U-14,CINNAMINSON SC RAPTORS 2008,Pittsgrove Soccer Club Pittsgrove United '08,CINNAMINSON SC - MEMORIAL,F1,
03/06/2022,12:00 ,,6171697,GotSport,Soccer,U-14,Monroe Township YS United Blue 2008,HARRISON SC SHARKS 2008,MONROE TWP - CORKERY LANE,F1,
03/06/2022,12:00 ,,6170522,GotSport,Soccer,U-14,Clayton SA 2008 Clippers,PENNS GROVE SC DIABLOS 2008,CLAYTON - BENTZ,F1,
03/06/2022,12:00 ,,6170227,GotSport,Soccer,U-16,TBAA OUTLAWS 2006,WINSLOW TOWNSHIP YSA WOLVES 2006,TBAA-VALLEY BROOK,F2,
03/06/2022,12:00 ,,6167517,GotSport,Soccer,U-18,HAMMONTON HEAT 2004,Washington TWP Soccer Club Arsenal 2004,HAMMONTON ECEC Fields,F1,
03/06/2022,12:00 ,,6241721,GotSport,Soccer,U-8,CHERRY HILL SC FORCE 2014,Deptford SA Deptford Premier FC 2014 Fusion,CHSC - BARLOW,S1,
03/06/2022,12:00 ,,6167519,GotSport,Soccer,U-18,Cherry Hill SC Cherry Hill SC Lions 2005,Edgewater Park Athletic Association EP United 2004,CHSC - UPPER CHAPEL TURF,F1,
03/06/2022,12:00 ,,6170102,GotSport,Soccer,U-11,Cherry Hill FC 2011 Juniors Black,NORTHERN BURLINGTON SA HOOLIGANS 2011,CHFC - DeCOU,S9- Grass 9v9/D5,
03/06/2022,12:00 ,,6166826,GotSport,Soccer,U-13,COHANSEY SC STORM 2009,PENNS GROVE SC HEAT 2009,COHANSEY,F1,
03/06/2022,12:00 ,,6214363,GotSport,Soccer,U-14,Berlin Soccer Club Savages 2008,PITMAN SA OCELOTS 2008,BERLIN SC - FRANKLIN FIELDS,F1,
03/06/2022,12:00 ,,6130842,GotSport,Soccer,U-18,Bordentown FC Bordentown FC 2005,MEDFORD SC ARSENAL 2005,BORDENTOWN - FRIENDSHIP FIELDS,F1,
03/06/2022,12:00 ,,6206348,GotSport,Soccer,U-14,SWEDESBORO-WOOLWICH KINGS 2008,Moorestown SC Rapids 2008,SW-Locke Avenue Park,F1,
03/06/2022,12:00 ,,6173133,GotSport,Soccer,U-9,MARLTON SC CHIEFS ORANGE 2013,RANCOCAS VALLEY SC MESSI 2013,MARLTON - MEMORIAL,S9,
03/06/2022,12:00 ,,6213706,GotSport,Soccer,U-13,HADDON HEIGHTS SC GARNETS 2009,CINNAMINSON SC WILDCATS 2009,HADD HGTS - DEVON,F1,
03/06/2022,12:00 ,,6175662,GotSport,Soccer,U-10,Franklin Township Youth Soccer Association Crusaders 2012,Berlin Soccer Club Ball Breakers 2012,FRANKLIN TWP YOUTH COMPLEX,S7,
03/06/2022,12:00 ,,6166739,GotSport,Soccer,U-9,Burlington Township Soccer Strikers 2013,HADDON TWP WHITE HAWKS 2013,BURLINGTON TWP - PINEWALD AVE,S7,
03/06/2022,12:00 ,,6168879,GotSport,Soccer,U-10,Moorestown SC Black Dragons 2012,WASHINGTON UNITED SC 2012,MOORESTOWN - MEMORIAL FIELDS,S7,
03/06/2022,12:00 ,,6130814,GotSport,Soccer,U-18,DEPTFORD SCORPIONS 2005,TBAA COSMOS 2005,DEPTFORD SC,F1,
03/06/2022,12:00 ,,6168839,GotSport,Soccer,U-15,UPPER TOWNSHIP SA DERECHOS 2007,Monroe Township YS United 2007,UPPER TWP-Amanda's Field Complex,F1,
03/06/2022,12:00 ,,6173135,GotSport,Soccer,U-9,EGSA DYNAMO 2013,Highland Youth Soccer Club Highland Rush 2013,E GREENWICH - THOMPSON FAMILY PARK,S7,
03/06/2022,12:00 ,,6170559,GotSport,Soccer,U-14,HARRISON SC STRIKERS 2008,DEPTFORD DRAGONS 2008,HARRISON - William Wilt Soccer Complex,F1,
