Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
03/05/2023,11:00,9821210,,GotSport,Soccer,U-19,  DEPTFORD SCORPIONS 2005,    STORM 2006,DEPTFORD SC,,
03/05/2023,11:00,9692483,,GotSport,Soccer,U-19,  WINSLOW GOBLINS 2004,    2005,WINSLOW TWP - PETER VOLPA,F1,
03/05/2023,11:00,9691168,,GotSport,Soccer,U-12,  HARRISON TIGERS 2011,  LIGHTNING 2011,HARRISON - William Wilt Soccer Complex,S9,
03/05/2023,11:00,9821211,,GotSport,Soccer,U-19,  THRASHERS 2006,  2006 RAPTORS,HIGHLAND - GLOUCESTER TWP PARK,,
03/05/2023,11:00,9692141,,GotSport,Soccer,U-13,    BLAST 2010,  HAMMONTON HEAT 2010,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,F1,
03/05/2023,11:00,9692496,,GotSport,Soccer,U-19,    ARSENAL 2005,    COSMOS 2005,MEDFORD - BENDE PARK,F1,
03/05/2023,11:00,9722082,,GotSport,Soccer,U-10,  DELRAN FC UNITED 2013,  RED 2013,,,
03/05/2023,11:00,9691489,,GotSport,Soccer,U-8,  MARLTON SC CHIEFS ORANGE 2015,  DEPTFORD PREMIER FC 2015 FUSION,MARLTON - MEMORIAL,,
03/05/2023,12:00,9692246,,GotSport,Soccer,U-13,  REVOLUTION 2010,    MUSTANGS 2011 B,WASHINGTON TWP-WASH LAKE PARK,F3,
03/05/2023,12:00,9691873,,GotSport,Soccer,U-14,    LIONS 2009,  GLADIATORS 2009,PITMAN - ALCYON LAKE,F1,
03/05/2023,12:00,9690866,,GotSport,Soccer,U-14,  SWSA FORCE 2009,  DEPTFORD REBELS 2009,SW-Locke Avenue Park,F1,
03/05/2023,12:00,9692173,,GotSport,Soccer,U-12,    HOOLIGANS 2011,  DELRAN FC BLAST 2011,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,S9,
03/05/2023,12:00,9712241,,GotSport,Soccer,U-9,    UNION 2014,  TORNADOES 2014,BORDENTOWN - FRIENDSHIP FIELDS,S7,
03/05/2023,12:00,9690892,,GotSport,Soccer,U-14,  STORM 2009,  MARLTON SC CHIEFS WHITE 2009,Pennsauken Community Recreation Facility,F1,
03/05/2023,12:00,9690899,,GotSport,Soccer,U-14,  AMBUSH 2009,    HEAT 2009,VOORHEES-EASTERN HS,,
03/05/2023,12:00,9691513,,GotSport,Soccer,U-11,    ROYALS 2012,    JAGUARS 2012,CHSC - UPPER CHAPEL TURF,S9,
03/05/2023,12:00,9691859,,GotSport,Soccer,U-15,  RED 2008,  FUSION 2008,HADDONFIELD - CROWS WOODS,F1,
