Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
04/01/2024,18:00,14354820,,GotSport,Soccer,U-11,LOGAN FLASH 2013,MANTUA TOWNSHIP SA WOLVES 2013,LOGAN - TWP LINE,,
04/02/2024,18:30,14353760,,GotSport,Soccer,U-10,SWEDESBORO WOOLWICH SOCCER ASSOC. SWSA DRAGONS 2014,MONROE TOWNSHIP YS UNITED 2014,SW-Locke Avenue Park,,
04/03/2024,17:30,14353987,,GotSport,Soccer,U-9,BERLIN SOCCER CLUB BERSERKERS 2015,MAPLE SHADE WILD 2015,BERLIN SC - FRANKLIN FIELDS,,
04/04/2024,18:00,14355133,,GotSport,Soccer,U-10,EAST GREENWICH SA EGSA STARS 2014,MANTUA TOWNSHIP SA OUTLAWS 2014,E GREENWICH - THOMPSON FAMILY PARK,,
04/04/2024,19:00,14353443,,GotSport,Soccer,U-12,EAST GREENWICH SA EGSA VENOM,VINELAND SA JERSEY BOYZ 2012,E GREENWICH - THOMPSON FAMILY PARK,,
04/05/2024,18:00,14352846,,GotSport,Soccer,U-9,HARRISON BLUE REBELS 2015,MANTUA TOWNSHIP SA FROGS 2015,HARRISON - William Wilt Soccer Complex,,
04/05/2024,18:30,14353769,,GotSport,Soccer,U-10,WASHINGTON UNITED SOCCER CLUB WUSC 2014,CAPE EXPRESS CE 2014 UNION,WASHINGTON TWP. - Levy Fields (Virtua),,
04/06/2024,10:00,14354425,,GotSport,Soccer,U-13,MEDFORD STRIKERS 2011 BOYS,CHERRY HILL SC CHAOS 2011,MEDFORD STRIKERS - ARK ROAD COMPLEX,,
04/06/2024,12:30,14354039,,GotSport,Soccer,U-16,MANTUA TOWNSHIP SA STRIKERS 2009,BURLINGTON TOWNSHIP SOCCER BULLS 2008,MANTUA TWP,,
04/06/2024,14:30,14354503,,GotSport,Soccer,U-15,DEPTFORD REBELS 2009,SJ FUTBOL CLUB RAPIDS 2009,DEPTFORD SC,,
04/07/2024,11:00,14354773,,GotSport,Soccer,U-13,BURLINGTON TOWNSHIP SOCCER REBELS 2011,MEDFORD SC COLUMBIA 2011,BURLINGTON TWP - PINEWALD AVE,,
04/07/2024,11:00,14353965,,GotSport,Soccer,U-15,TBAA STORM 2009,EAST GREENWICH SA EGSA THUNDER 2009,TBAA-VALLEY BROOK,,
04/07/2024,11:00,14355160,,GotSport,Soccer,U-10,WEST DEPTFORD SC AVALANCHE 2014,WOODSTOWN WOLFPACK 2014,W DEPTFORD-WD PARK,,
04/07/2024,11:00,14354223,,GotSport,Soccer,U-12,MARLTON SC CHIEFS BLACK 2012,MAINLAND UNITED SA STANGS 2012,MARLTON - MEMORIAL,,
04/07/2024,11:00,14353798,,GotSport,Soccer,U-12,WASHINGTON TWP SOCCER CLUB PREDATORS 2012,BERLIN SOCCER CLUB BALL BREAKERS 2012,WASHINGTON TWP-WASH LAKE PARK,,
04/07/2024,11:00,14354641,,GotSport,Soccer,U-14,WOODSTOWN WARRIORS 2010,WASHINGTON TWP SOCCER CLUB REVOLUTION 2010,WOODSTOWN,,
04/07/2024,11:00,14353393,,GotSport,Soccer,U-11,CHERRY HILL FC 2013 JUNIOR BLACK - RED HAWKS,WASHINGTON TWP SOCCER CLUB DAREDEVILS 2013,CHFC - DeCOU,,
04/07/2024,11:00,14353834,,GotSport,Soccer,U-10,MARLTON SC CHIEFS WHITE 2014,MOUNT LAUREL UNITED (MLU) MLU THUNDER,MARLTON - MEMORIAL,,
04/07/2024,11:00,14352870,,GotSport,Soccer,U-11,HADDONFIELD SC RED 2013,PENNSAUKEN YOUTH SOCCER CLUB REBELS 2013,HADDONFIELD - CROWS WOODS,,
04/07/2024,11:00,14352897,,GotSport,Soccer,U-14,CHERRY HILL SC THUNDERBOLTS 2010,MOUNT LAUREL UNITED (MLU) FORCE 2010,CHSC - CH WEST HS,,
04/07/2024,11:05,14353080,,GotSport,Soccer,U-11,PALMYRA RIVERTON SC YOUNGBLOODS 2013,BERLIN SOCCER CLUB BULLDOGS 2013,TBA,,
04/07/2024,11:30,14353737,,GotSport,Soccer,U-13,EGG HARBOR SC EAGLES BLACK 2011,HADDONFIELD SC RED 2011,EGG HARBOR - BARGAINTOWN,,
04/07/2024,12:00,14353835,,GotSport,Soccer,U-10,RANCOCAS VALLEY SC '14 - CELTIC,TBAA SYNDICATE 2014,Rancocas Valley-LUMBERTON MUNICIPAL,,
04/07/2024,12:00,14354020,,GotSport,Soccer,U-16,MILLVILLE PHANTOMS,WASHINGTON TWP SOCCER CLUB GLADIATORS 2008,MILLVILLE SOCCER COMPLEX,,
04/07/2024,12:00,14353852,,GotSport,Soccer,U-9,EAST GREENWICH SA EGSA BLACK KNIGHTS 2015,SWEDESBORO WOOLWICH SOCCER ASSOC. SWSA STRIKERS 2015,E GREENWICH - THOMPSON FAMILY PARK,,
04/07/2024,12:00,14353342,,GotSport,Soccer,U-9,TAR-KILL SOCCER CLUB TARKILL 2015 BLUE,HADDON TWP RED HAWKS 2015,TARKILL-STERLING HS,,
04/07/2024,12:00,14354042,,GotSport,Soccer,U-16,MANTUA TOWNSHIP SA STRIKERS 2009,MEDFORD SC WHITE 2008,MANTUA TWP,,
04/07/2024,12:00,14354547,,GotSport,Soccer,U-10,HADDONFIELD SC RED 2014 B,HIGHLAND YOUTH SOCCER CLUB THUNDER 2014,HADDONFIELD - CROWS WOODS,,
04/07/2024,12:00,14354058,,GotSport,Soccer,U-16,HIGHLAND YOUTH SOCCER CLUB FUSION 2008,HIGHLAND YOUTH SOCCER CLUB GALAXY 2008,HIGHLAND - GLOUCESTER TWP PARK,,
04/07/2024,12:00,14354922,,GotSport,Soccer,U-13,CLAYTON SA 2011 CLIPPERS,PENNSVILLE SOCCER ASSOCIATION EAGLES 2011,CLAYTON - BENTZ,,
04/07/2024,12:00,14354546,,GotSport,Soccer,U-10,SWEDESBORO WOOLWICH SOCCER ASSOC. SWSA LIGHTNING 2014,DEPTFORD RENEGADES 2014,SW-Locke Avenue Park,,
04/07/2024,12:00,14354908,,GotSport,Soccer,U-15,MEDFORD SC GOLD 2009,PENNS GROVE SC HEAT 2009,MEDFORD - BENDE PARK,,
04/07/2024,12:00,14354421,,GotSport,Soccer,U-13,MEDFORD STRIKERS 2011 BOYS,DEPTFORD BLAZE 2011,MEDFORD STRIKERS - ARK ROAD COMPLEX,,
04/07/2024,12:00,14353382,,GotSport,Soccer,U-11,NORTHERN BURLINGTON SA BLUES 2013,HARRISON WOLFPACK 2013,,,
04/07/2024,12:00,14352992,,GotSport,Soccer,U-8,CHERRY HILL SC CHERRY HILL SC THUNDER (2016) - BOYS,HARRISON BLUE SNAKES 2016,CHSC - UPPER CHAPEL TURF,,
04/07/2024,12:00,14354895,,GotSport,Soccer,U-15,MONROE TOWNSHIP YS UNITED 2009,UPPER TOWNSHIP SA AVALANCHE 2009,MONROE TWP - CORKERY LANE,,
04/07/2024,12:00,14352879,,GotSport,Soccer,U-11,CHERRY HILL SC THUNDER 2013,VINELAND SA UNITED 2013,CHSC - UPPER CHAPEL TURF,,
04/07/2024,12:00,14352848,,GotSport,Soccer,U-9,BURLINGTON TOWNSHIP SOCCER THUNDER2015,MEDFORD SC COLUMBIA 2015,BURLINGTON TWP - PINEWALD AVE,,
04/07/2024,12:00,14353211,,GotSport,Soccer,U-13,MOUNT LAUREL UNITED (MLU) WARRIORS 2011,CHERRY HILL SC CHERRY HILL SC FUSION (2011) - BOYS,MLU-TROTTERS,,
04/07/2024,12:00,14353532,,GotSport,Soccer,U-8,NORTHERN BURLINGTON BOOM 2016,WEST DEPTFORD SC TSUNAMI 2016,,,
04/07/2024,12:00,14354285,,GotSport,Soccer,U-12,WINSLOW GREEN DRAGONS 2012,LOGAN FUSION 2012,WINSLOW TWP - PETER VOLPA,,
04/07/2024,12:00,14355129,,GotSport,Soccer,U-10,AUDUBON ATTACK - BOYS 2014,HARRISON WAVE 2014,AUDUBON PARK FIELD,,
04/07/2024,12:00,14354509,,GotSport,Soccer,U-15,FRANKLIN TOWNSHIP YOUTH SOCCER ASSOCIATION STRIKERS 2009,WOODSTOWN ANGRY PIGS 2009,FRANKLIN TWP YOUTH COMPLEX,,
04/07/2024,12:00,14352753,,GotSport,Soccer,U-10,BURLINGTON COUNTY SOCCER ACADEMY DEL-SIDE SC 2014B,MOORESTOWN SC WOLVERINES 2014,BURLINGTON COUNTY SA - Delanco Field of Dreams,,
04/07/2024,12:00,14354192,,GotSport,Soccer,U-19,WINSLOW WOLVES 2006,MEDFORD SC ARSENAL 2005,WINSLOW TWP - PETER VOLPA,,
04/07/2024,12:00,14354510,,GotSport,Soccer,U-15,HADDONFIELD SC RED 2009,SJ FUTBOL CLUB RAPIDS 2009,HADDONFIELD - CROWS WOODS,,
04/07/2024,12:00,14352701,,GotSport,Soccer,U-8,MEDFORD SC COLUMBIA 2016,CINNAMINSON SC LIGHTNING 2016,MEDFORD - BENDE PARK,,
04/07/2024,12:00,14354145,,GotSport,Soccer,U-12,BORDENTOWN FC JAGUARS 2012,WATERFORD ATHLETIC ASSN WINGS 2012,BORDENTOWN - FRIENDSHIP FIELDS,,
04/07/2024,12:00,14353311,,GotSport,Soccer,U-14,BORDENTOWN FC PANTHERS 2010,NORTHERN BURLINGTON SA BLAST 2010,BORDENTOWN - FRIENDSHIP FIELDS,,
04/07/2024,12:15,14354171,,GotSport,Soccer,U-17,WASHINGTON TWP SOCCER CLUB SPARTANS 2007,HARRISON SC AVENGERS 2007,WASHINGTON TWP-WASH LAKE PARK,,
04/07/2024,12:15,14354214,,GotSport,Soccer,U-12,HADDONFIELD BLACK 2012,COLLINGSWOOD OAKLYN SOCCER CLUB KNIGHTS 2012,HADDONFIELD - CROWS WOODS,,
04/07/2024,12:15,14353226,,GotSport,Soccer,U-9,MONROE TOWNSHIP YS UNITED BOYS 2015,MARLTON SC CHIEFS ORANGE 2015,MONROE TWP - CORKERY LANE,,
04/07/2024,12:30,14353155,,GotSport,Soccer,U-12,VINELAND SA FURY 2012,PITTSGROVE SOCCER CLUB PSC SPURS '12,VINELAND SA,,
04/07/2024,12:30,14354401,,GotSport,Soccer,U-11,GATEWAY UNITED SOCCER CLUB SHARKS 2013,MAINLAND UNITED SA STANGS 2013 B,GATEWAY UTD. - WESTVILLE,,
04/07/2024,12:30,14354324,,GotSport,Soccer,U-9,MAINLAND UNITED SA BRONCOS 2015,HAMMONTON HEAT 2015,MAINLAND - MEMORIAL PARK,,
04/07/2024,12:30,14354454,,GotSport,Soccer,U-14,DELRAN EXPRESS 2010B,PITTSGROVE SOCCER CLUB PSC CRUSH '10,DELRAN-DEUTSCH FIELD,,
04/07/2024,12:30,14354292,,GotSport,Soccer,U-11,CHERRY HILL FC 2014 RED - HAWKS,FRANKLIN TOWNSHIP YOUTH SOCCER ASSOCIATION ENFORCERS 2013,CHFC - DeCOU,,
04/07/2024,12:30,14354774,,GotSport,Soccer,U-13,CHERRY HILL SC ROYALS 2012,WEST DEPTFORD SC WOLFPACK 2011,CHSC - CH WEST HS,,
04/07/2024,12:30,14354545,,GotSport,Soccer,U-10,UPPER TOWNSHIP SA HURRICANES WHITE 2014,PITMAN SA BENGALS 2014,UPPER TWP-Amanda's Field Complex,,
04/07/2024,12:30,14354524,,GotSport,Soccer,U-14,MAINLAND UNITED STANGS 2010-11 B,ATLANTIC UNITED PREMIER STRIKERS 2010/11 B,,,
04/07/2024,12:30,14354041,,GotSport,Soccer,U-16,BURLINGTON TOWNSHIP SOCCER BULLS 2008,SWEDESBORO WOOLWICH SOCCER ASSOC. SWSA SCORPIONS 2008,BURLINGTON TWP - PINEWALD AVE,,
04/07/2024,12:30,14352655,,GotSport,Soccer,U-11,RANCOCAS VALLEY SC MESSI 2013,CHERRY HILL FC 2013 DEVILS,Rancocas Valley-LUMBERTON MUNICIPAL,,
