Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
05/05/2024,10:30,14353239,,GotSport,Soccer,U-9,TBAA REVOLUTION 2015,MOORESTOWN SC VIPERS 2015,MOORESTOWN - MEMORIAL FIELDS,,
05/05/2024,10:45,14353814,,GotSport,Soccer,U-12,AUDUBON SOCCER YOUTH BALLERS 2012,EGG HARBOR SC EAGLES BLACK 2012,EGG HARBOR - BARGAINTOWN,,
05/05/2024,11:00,15777145,,GotSport,Soccer,U-18,HADDON HEIGHTS SC 2009 GARNETS,NORTHERN BURLINGTON SA BLUE LEGENDS 2007,HADD HGTS - DEVON,,
05/05/2024,11:00,14354176,,GotSport,Soccer,U-17,MAINLAND UNITED SA H.S. BOYS UNITED 2007,HARRISON SC AVENGERS 2007,MAINLAND-Atlantic Christian School,,
05/05/2024,11:00,14354494,,GotSport,Soccer,U-15,FRANKLIN TOWNSHIP YOUTH SOCCER ASSOCIATION STRIKERS 2009,SJ FUTBOL CLUB RAPIDS 2009,FRANKLIN TWP YOUTH COMPLEX,,
05/05/2024,11:00,14354611,,GotSport,Soccer,U-14,VOORHEES SA THUNDER 2010,TBAA DYNAMO 2010,VOORHEES-EASTERN HS,,
05/05/2024,11:00,14354103,,GotSport,Soccer,U-15,BURLINGTON TOWNSHIP SOCCER FUSION 2009,PENNSAUKEN YOUTH SOCCER CLUB STORM 2009,BURLINGTON TWP - PINEWALD AVE,,
05/05/2024,11:00,14355132,,GotSport,Soccer,U-10,AUDUBON ATTACK - BOYS 2014,MANTUA TOWNSHIP SA OUTLAWS 2014,MANTUA TWP,,
05/05/2024,11:00,14354099,,GotSport,Soccer,U-15,CINNAMINSON SC PIRATES 2009,MARLTON SC CHIEFS ORANGE 2009,CINNAMINSON SC - MEMORIAL,,
05/05/2024,12:00,14353771,,GotSport,Soccer,U-10,EGG HARBOR SC EAGLES 2014 BLACK,WASHINGTON UNITED SOCCER CLUB WUSC 2014,EGG HARBOR - BARGAINTOWN,,
05/05/2024,12:00,14353751,,GotSport,Soccer,U-13,CAPE EXPRESS SURGE 2011,HADDONFIELD SC RED 2011,CAPE EX SOCCER COMPLEX At Ockie Wisting,,
05/05/2024,12:00,14354496,,GotSport,Soccer,U-15,HADDONFIELD SC RED 2009,DEPTFORD REBELS 2009,HADDONFIELD - CROWS WOODS,,
