TeamID,TeamName,SportName,LevelName,Strength,TravelLimit,Site,SubSite,BillTo,HighSchool
"4120","CAPE EXPRESS  - CE NOR'EASTERS 2016","Soccer","U-8","5","999","CAPE EX SOCCER COMPLEX At Ockie Wisting","S7","Not Set","Not Set",
"3855","CAPE EXPRESS AVENGERS 2013","Soccer","U-11","5","999","CAPE EX SOCCER COMPLEX At Ockie Wisting","S9","Not Set","Not Set",
"3715","CAPE EXPRESS CE BLUE CRUSH 2010","Soccer","U-14","5","999","CAPE EX SOCCER COMPLEX At Ockie Wisting","F1","Not Set","Not Set",
"4102","CAPE EXPRESS CE ENGINEERS 2014","Soccer","U-10","5","999","Not Set","Not Set","Not Set","Not Set",
"4000","CAPE EXPRESS CE SILVER STREAK 2015","Soccer","U-9","5","999","Not Set","Not Set","Not Set","Not Set",
"4003","CAPE EXPRESS CE UNION 2014","Soccer","U-10","5","999","CAPE EX SOCCER COMPLEX At Ockie Wisting","S7","Not Set","Not Set",
"3878","CAPE EXPRESS SURGE 2011","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"4145","CAPE EXPRESS WHITE CAPS 2012","Soccer","U-12","5","999","CAPE EX SOCCER COMPLEX At Ockie Wisting","S9","Not Set","Not Set",
"3875","CHERRY HILL FC  AVENGERS 2011","Soccer","U-13","5","999","CHFC - DeCOU","F1","Not Set","Not Set",
"3765","CHERRY HILL FC  DRAGONS 2009","Soccer","U-15","5","999","Not Set","Not Set","Not Set","Not Set",
"3919","CHERRY HILL FC 2011 JUNIORS BLACK","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"3807","CHERRY HILL FC 2011/2012 JUNIOR WHITE","Soccer","U-13","5","999","CHFC - DeCOU","F1","Not Set","Not Set",
"3770","CHERRY HILL FC 2012 JUNIORS BLACK","Soccer","U-12","5","999","CHFC - DeCOU","S9- Grass 9v9/D5","Not Set","Not Set",
"3745","CHERRY HILL FC 2013 DEVILS","Soccer","U-11","5","999","CHFC - DeCOU","S9- Grass 9v9/D5","Not Set","Not Set",
"3762","CHERRY HILL FC 2013 JUNIOR BLACK - RED HAWKS","Soccer","U-11","5","999","CHFC - DeCOU","S9- Grass 9v9/D5","Not Set","Not Set",
"4019","CHERRY HILL FC 2014 BLACK STRIKERS","Soccer","U-10","5","999","CHFC - DeCOU","S7 - Grass 7v7/D6","Not Set","Not Set",
"3960","CHERRY HILL FC 2014 RED - HAWKS","Soccer","U-10","5","999","CHFC - DeCOU","S7 - Grass 7v7/D6","Not Set","Not Set",
"3952","CHERRY HILL FC 2015 JUNIOR BLACK","Soccer","U-9","5","999","CHFC - DeCOU","S7 - Grass 7v7/D6","Not Set","Not Set",
"3946","CHERRY HILL FC 2015 JUNIOR RED","Soccer","U-9","5","999","CHFC - DeCOU","S7 - Grass 7v7/D6","Not Set","Not Set",
"3969","CHERRY HILL FC 2015/2016 JUNIOR WHITE","Soccer","U-9","5","999","CHFC - DeCOU","S7 - Grass 7v7/D6","Not Set","Not Set",
"4126","CHERRY HILL FC 2016 JUNIOR RED","Soccer","U-8","5","999","CHFC - DeCOU","S7 - Grass 7v7/D6","Not Set","Not Set",
"4010","CHERRY HILL SC  BLUE ARMY 2012","Soccer","U-13","5","999","CHSC - CH WEST HS","F1","Not Set","Not Set",
"3847","CHERRY HILL SC  CHAOS 2011","Soccer","U-13","5","999","CHSC - CH WEST HS","F1","Not Set","Not Set",
"3686","CHERRY HILL SC  ROYALS 2012","Soccer","U-12","5","999","CHSC - UPPER CHAPEL TURF","S9","Not Set","Not Set",
"4119","CHERRY HILL SC  THUNDER 2013","Soccer","U-11","5","999","CHSC - UPPER CHAPEL TURF","S9","Not Set","Not Set",
"3728","CHERRY HILL SC  THUNDERBOLTS 2010","Soccer","U-14","5","999","CHSC - CH WEST HS","F1","Not Set","Not Set",
"4152","CHERRY HILL SC CHERRY HILL SC 72S (2016) - BOYS","Soccer","U-8","5","999","Not Set","Not Set","Not Set","Not Set",
"4117","CHERRY HILL SC CHERRY HILL SC BLUE (2016) - BOYS","Soccer","U-8","5","999","CHSC - UPPER CHAPEL TURF","S7","Not Set","Not Set",
"4001","CHERRY HILL SC CHERRY HILL SC BULL DOGS 2012","Soccer","U-12","5","999","CHSC - UPPER CHAPEL TURF","S9","Not Set","Not Listed",
"3852","CHERRY HILL SC CHERRY HILL SC FORCE 2013","Soccer","U-11","5","999","CHSC - UPPER CHAPEL TURF","S9","Not Set","Not Set",
"3741","CHERRY HILL SC CHERRY HILL SC FORCE 2014","Soccer","U-10","5","999","CHSC - UPPER CHAPEL TURF","S7","Not Set","Not Set",
"4055","CHERRY HILL SC CHERRY HILL SC FUSION 2011","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"4106","CHERRY HILL SC CHERRY HILL SC TBD (2012) - BOYS","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"3671","CHERRY HILL SC CHERRY HILL SC TBD (2015) - BOYS","Soccer","U-9","5","999","CHSC - UPPER CHAPEL TURF","S7","Not Set","Not Set",
"3857","CHERRY HILL SC CHERRY HILL SC UNION 2015","Soccer","U-10","5","999","CHSC - UPPER CHAPEL TURF","S7","Not Set","Not Listed",
"3743","CHERRY HILL SC CHERRY HILL SC UNITED 2014","Soccer","U-11","5","999","CHSC - UPPER CHAPEL TURF","S9","Not Set","Not Listed",
"3999","CHERRY HILL SC CHERRY HILL SC WARRIORS 2015","Soccer","U-9","5","999","CHSC - UPPER CHAPEL TURF","S7","Not Set","Not Listed",
"4202","CHESHIRE EDP/G","Soccer","U-15","5","999","Not Set","Not Set","Not Set","Not Set",
"4215","CHFC ARSENAL EDP/G","Soccer","U-13","5","999","CHFC - DeCOU","F1","Not Set","Not Set",
"4217","CHFC CHAOS","Soccer","U-14","5","999","CHFC - DeCOU","F1","Not Set","Not Set",
"4216","CHFC CHAOS EDP/B","Soccer","U-15","5","999","CHFC - DeCOU","F1","Not Set","Not Set",
"4218","CHFC COSMOS EDP/B","Soccer","U-12","5","999","CHFC - DeCOU","S9- Grass 9v9/D5","Not Set","Not Set",
"4298","CHFC COSMOS NJYS PRES CUP/B","Soccer","U-12","5","999","CHFC - DeCOU","S9- Grass 9v9/D5","Not Set","Not Set",
"4328","CHFC DIABLOS EDP/B","Soccer","U-17","5","999","CHFC - DeCOU","F1","Not Set","Not Set",
"4207","CHFC DRAGONS EDP/G","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"4302","CHFC DRAGONS NJYS PRES CUP/G","Soccer","U-14","5","999","CHFC - DeCOU","F1","Not Set","Not Set",
"4184","CHFC JUNIOR MAMBAS EDP/B","Soccer","U-12","5","999","CHFC - DeCOU","S9- Grass 9v9/D5","Not Set","Not Set",
"4213","CHFC MAMBAS EDP/B","Soccer","U-12","5","999","CHFC - DeCOU","S9- Grass 9v9/D5","Not Set","Not Listed",
"4323","CHFC SURGE EDP/G","Soccer","U-15","5","999","CHFC - DeCOU","F1","Not Set","Not Set",
"4268","CHFCCOSMOS EDP/B","Soccer","U-12","5","999","CHFC - DeCOU","S9- Grass 9v9/D5","Not Set","Not Set",
"4336","CHFCRED DEVILS EDP/B","Soccer","U-16","5","999","Not Set","Not Set","Not Set","Not Set",
"4254","CHSC FIERCE EDP","Soccer","U-14","5","999","CHSC - UPPER CHAPEL TURF","F1","Not Set","Not Set",
"4210","CHSC MAVERICKS EDP/B","Soccer","U-11","5","999","Not Set","Not Set","Not Set","Not Set",
"4300","CHSC MAVERICKS NJYS PRES CUP/B","Soccer","U-12","5","999","CHFC - DeCOU","S9- Grass 9v9/D5","Not Set","Not Set",
"4248","CHSC RAGE EDP","Soccer","U-14","5","999","CHSC - UPPER CHAPEL TURF","F1","Not Set","Not Set",
"4250","CHSC RAPTORS EDP","Soccer","U-15","5","999","CHSC - UPPER CHAPEL TURF","F1","Not Set","Not Set",
"4252","CHSC THUNDER EDP","Soccer","U-12","5","999","CHSC - UPPER CHAPEL TURF","S9","Not Set","Not Set",
"3735","CINNAMINSON SC  AVENGERS 2014","Soccer","U-10","5","999","CINNAMINSON SC - MEMORIAL","S7","Not Set","Not Set",
"4173","CINNAMINSON SC  CHARGE 2012","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"3846","CINNAMINSON SC  CHARGERS 2014","Soccer","U-10","5","999","Not Set","Not Set","Not Set","Not Set",
"3730","CINNAMINSON SC  PIRATES 2009","Soccer","U-15","5","999","CINNAMINSON SC - MEMORIAL","F1","Not Set","Not Set",
"3880","CINNAMINSON SC  PIRATES 2010","Soccer","U-14","5","999","CINNAMINSON SC - MEMORIAL","F1","Not Set","Not Set",
"4098","CINNAMINSON SC  PIRATES BLACK 2016","Soccer","U-8","5","999","Not Set","Not Set","Not Set","Not Set",
"3817","CINNAMINSON SC  PIRATES WHITE 2015","Soccer","U-9","5","999","Not Set","Not Set","Not Set","Not Set",
"3833","CINNAMINSON SC  PIRATES WHITE 2016","Soccer","U-8","5","999","CINNAMINSON SC - MEMORIAL","S7","Not Set","Not Set",
"3873","CINNAMINSON SC  RAPTORS 2015","Soccer","U-9","5","999","Not Set","Not Set","Not Set","Not Set",
"3832","CINNAMINSON SC  RED DEVILS 2015","Soccer","U-9","5","999","Not Set","Not Set","Not Set","Not Set",
"3790","CINNAMINSON SC  SKULLS 2012","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"4070","CINNAMINSON SC  STORM 2011","Soccer","U-13","5","999","CINNAMINSON SC - MEMORIAL","F1","Not Set","Not Set",
"4085","CINNAMINSON SC  STRIKERS 2013","Soccer","U-11","5","999","CINNAMINSON SC - MEMORIAL","S9","Not Set","Not Set",
"4158","CINNAMINSON SC  THUNDERBIRDS 2013","Soccer","U-11","5","999","Not Set","Not Set","Not Set","Not Set",
"4047","CINNAMINSON SC  VIPERS 2011","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"4092","CINNAMINSON SC  VIPERS 2016","Soccer","U-8","5","999","Not Set","Not Set","Not Set","Not Set",
"3771","CINNAMINSON SC  WARRIORS 2012","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"4122","CINNAMINSON SC  WILDCATS 2009","Soccer","U-15","5","999","CINNAMINSON SC - MEMORIAL","F1","Not Set","Not Set",
"3816","CLAYTON SA 2010 CLIPPERS","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"4138","CLAYTON SA 2012 CLIPPERS","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Clayton High School",
"3915","CLAYTON SA 2014 CLIPPERS","Soccer","U-10","5","999","Not Set","Not Set","Not Set","Clayton High School",
"3806","CLAYTON SA 2015 CLIPPERS","Soccer","U-9","5","999","Not Set","Not Set","Not Set","Not Set",
"4188","COHANSEY EDP/G","Soccer","U-10","5","999","Not Set","Not Set","Not Set","Not Set",
"4225","COHANSEY EDP/G","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"4260","COHANSEY NJYS PRES CUP/B","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"4131","COHANSEY SC  DYNAMO 2015","Soccer","U-9","5","999","Cohansey - Cumberland County Tech School","S7","Not Set","Not Set",
"4128","COHANSEY SC  DYNASTY 2015","Soccer","U-9","5","999","Cohansey - Cumberland County Tech School","S7","Not Set","Not Set",
"3801","COLLINGSWOOD TRAVEL SOCCER CLUB COLLINGSWOOD COBRA","Soccer","U-11","5","999","Not Set","Not Set","Not Set","Not Listed",
"3716","COLLINGSWOOD TRAVEL SOCCER CLUB GALAXY 2010","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"3789","COLLINGSWOOD TRAVEL SOCCER CLUB KNIGHTS 2012","Soccer","U-12","5","999","Collingswood SC-Knights Park","S1","Not Set","Not Set",
"3767","COLLINGSWOOD TRAVEL SOCCER CLUB OUTLAWS 2014","Soccer","U-10","5","999","Not Set","Not Set","Not Set","Not Set",
"4151","COLLINGSWOOD TRAVEL SOCCER CLUB RAMPAGE 2016","Soccer","U-8","5","999","Collingswood SC-Knights Park","S1","Not Set","Not Set",
"3784","COLLINGSWOOD TRAVEL SOCCER CLUB ROVERS 2013","Soccer","U-11","5","999","Collingswood SC-Knights Park","S1","Not Set","Not Set",
"3998","COLLINGSWOOD TRAVEL SOCCER CLUB VENOM 2014","Soccer","U-10","5","999","Not Set","Not Set","Not Set","Not Set",
"4269","COLONIAL EDP/B","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"4221","COLONIAL SC EDP/B","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"4271","DELMARVA RUSH EDP/B","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"3763","DELRAN FC SOCCER 2013B GREY","Soccer","U-11","5","999","Not Set","Not Set","Not Set","Not Set",
"3711","DELRAN FC SOCCER 2016B BLACK","Soccer","U-8","5","999","DELRAN - VERMES","S7","Not Set","Not Set",
"4160","DELRAN FC SOCCER 2016B GREY","Soccer","U-8","5","999","DELRAN - VERMES","S7","Not Set","Not Set",
"4274","DELRAN FC SOCCER DELRAN EXPRESS 2010B","Soccer","U-15","5","999","DELRAN - VERMES","F1","Not Set","Not Set",
"3907","DELRAN FC SOCCER DELRAN FC 2013 UNITED","Soccer","U-11","5","999","DELRAN - VERMES","S9","Not Set","Not Set",
"3872","DELRAN FC SOCCER DELRAN FC BLAST 2011","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"3983","DELRAN FC SOCCER DELRAN FC COBRAS 2015","Soccer","U-9","5","999","DELRAN - VERMES","S7","Not Set","Not Set",
"4051","DELRAN FC SOCCER DELRAN FC FLASH 2012","Soccer","U-12","5","999","DELRAN - VERMES","S9","Not Set","Not Set",
"3843","DELRAN FC SOCCER DELRAN FC HAWKS 2014","Soccer","U-10","5","999","DELRAN - VERMES","S7","Not Set","Not Set",
"4101","DELRAN FC SOCCER DELRAN FC KNIGHTS 2014","Soccer","U-10","5","999","DELRAN - VERMES","S7","Not Set","Not Listed",
"4335","DEPTFORD EDP/G","Soccer","U-9","5","999","DEPTFORD SC","F1","Not Set","Not Set",
"4311","DEPTFORD NJYS PRES CUP/B","Soccer","U-12","5","999","Not Set","Not Set","Not Set","Not Set",
"4021","DEPTFORD SA DEPTFORD AVENGERS 2009","Soccer","U-15","5","999","DEPTFORD SC","F1","Not Set","Not Set",
"4011","DEPTFORD SA DEPTFORD BLAZE 2011 - BLACK","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"3755","DEPTFORD SA DEPTFORD BRUTE FORCE 2010","Soccer","U-14","5","999","DEPTFORD SC","F1","Not Set","Not Set",
"3677","DEPTFORD SA DEPTFORD DEMONS 2010","Soccer","U-14","5","999","DEPTFORD SC","F1","Not Set","Not Set",
"3829","DEPTFORD SA DEPTFORD LIGHTNING 2015","Soccer","U-9","5","999","Not Set","Not Set","Not Set","Not Set",
"4316","DEPTFORD SA DEPTFORD REBELS 2009","Soccer","U-18","5","999","Not Set","Not Set","Not Set","Not Set",
"3842","DEPTFORD SA DEPTFORD RENEGADES 2014","Soccer","U-10","5","999","Not Set","Not Set","Not Set","Not Set",
"4318","DEPTFORD SA DEPTFORD SCORPIONS 2006/2007","Soccer","U-18","5","999","Not Set","Not Set","Not Set","Not Set",
"3818","DEPTFORD SA DEPTFORD THUNDER 2012","Soccer","U-12","5","999","DEPTFORD SC","S9","Not Set","Not Set",
"4036","DEPTFORD SA DEPTFORD THUNDER 2015","Soccer","U-9","5","999","DEPTFORD SC","S7","Not Set","Not Set",
"3916","DEPTFORD SA DEPTFORD TORNADOES 2011","Soccer","U-13","5","999","DEPTFORD SC","F1","Not Set","Not Listed",
"3824","DEPTFORD SA DEPTFORD TORNADOS 2013","Soccer","U-11","5","999","DEPTFORD SC","S9","Not Set","Not Set",
"3904","DEPTFORD SA DEPTFORD UNITED 2014","Soccer","U-10","5","999","Not Set","Not Set","Not Set","Not Set",
"3820","DEPTFORD SA DEPTFORD VENOM 2012","Soccer","U-12","5","999","DEPTFORD SC","S9","Not Set","Not Set",
"4107","EAST GREENWICH SA EGSA BLACK KNIGHTS 2015","Soccer","U-9","5","999","E GREENWICH - THOMPSON FAMILY PARK","S7","Not Set","Not Set",
