TeamID,TeamName,SportName,LevelName,Strength,TravelLimit,Site,SubSite,BillTo,HighSchool
2343,MOORESTOWN SC BLACK KNIGHTS 2011,Soccer,U-12,5,999,MOORESTOWN - SALEM RD/PRYOR PARK,S1,Not Set,Not Listed
2651,MOORESTOWN SC CHAOS 2011,Soccer,U-12,5,999,Not Set,Not Set,Not Set,Not Listed
2785,MOORESTOWN SC FALCONS 2013,Soccer,U-10,5,999,MOORESTOWN - MEMORIAL FIELDS,S7.2,Not Set,Not Set
2397,MOORESTOWN SC GOLDEN EAGLES 2013,Soccer,U-10,5,999,MOORESTOWN - MEMORIAL FIELDS,S7,Not Set,Not Listed
3013,MOORESTOWN SC GUARDIANS 2014,Soccer,U-9,5,999,MOORESTOWN - MEMORIAL FIELDS,S7,Not Set,Not Set
2542,MOORESTOWN SC LIGHTNING 2012,Soccer,U-11,5,999,MOORESTOWN - SALEM RD/PRYOR PARK,S1,Not Set,Not Listed
2195,MOORESTOWN SC RAPIDS 2008,Soccer,U-15,5,999,CINNAMINSON SC - MEMORIAL,F1,Not Set,Not Listed
2280,MOORESTOWN SC RAPTORS 2013,Soccer,U-10,5,999,MOORESTOWN - MEMORIAL FIELDS,S7,Not Set,Not Listed
3066,MOORESTOWN SC STINGRAYS 2015,Soccer,U-8,5,999,Not Set,Not Set,Not Set,Not Set
3011,MOORESTOWN SC VIPERS 2015,Soccer,U-8,5,999,MOORESTOWN - MEMORIAL FIELDS,S7.2,Not Set,Not Set
3278,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU),Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Listed
3370,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU),Soccer,U-11,5,999,Not Set,Not Set,Not Set,Not Listed
3463,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU),Soccer,U-12,5,999,MLU-TROTTERS,S9,Not Set,Not Listed
3407,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU),Soccer,U-13,5,999,Not Set,Not Set,Not Set,Not Listed
3467,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU),Soccer,U-14,5,999,Not Set,Not Set,Not Set,Not Listed
3229,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU),Soccer,U-15,5,999,Not Set,Not Set,Not Set,Not Listed
3366,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU),Soccer,U-8,5,999,Not Set,Not Set,Not Set,Not Listed
3262,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU),Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Listed
2322,MOUNT LAUREL UNITED COBRAS 2014,Soccer,U-9,5,999,MLU-TROTTERS,S7.2,Not Set,Not Listed
2289,MOUNT LAUREL UNITED COMETS 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Listed
2509,MOUNT LAUREL UNITED FLASH 2011,Soccer,U-12,5,999,Not Set,Not Set,Not Set,Not Listed
2250,MOUNT LAUREL UNITED FORCE 2010,Soccer,U-13,5,999,MLU-TROTTERS,F1,Not Set,Not Listed
2838,MOUNT LAUREL UNITED GALAXY 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
2394,MOUNT LAUREL UNITED HAWKS 2012,Soccer,U-11,5,999,MLU-TROTTERS,S9,Not Set,Not Listed
2510,MOUNT LAUREL UNITED IMPACT 2012,Soccer,U-11,5,999,MLU-TROTTERS,S9,Not Set,Not Listed
2943,MOUNT LAUREL UNITED KNIGHTS 2015,Soccer,U-8,5,999,MLU-TROTTERS,S7.2,Not Set,Not Set
2215,MOUNT LAUREL UNITED LIGHTNING 2014,Soccer,U-9,5,999,MLU-TROTTERS,S7.2,Not Set,Not Listed
2857,MOUNT LAUREL UNITED STRIKERS 2008,Soccer,U-15,5,999,MLU-TROTTERS,F1,Not Set,Not Set
2253,MOUNT LAUREL UNITED TIGERS 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Listed
2290,MOUNT LAUREL UNITED WARRIORS 2011,Soccer,U-12,5,999,MLU-TROTTERS,S9,Not Set,Not Listed
3035,MOUNT LAUREL UNITED WOLFPACK 2015,Soccer,U-8,5,999,MLU-TROTTERS,S7.2,Not Set,Not Set
3184,NEXT LEVEL EDP/B,Soccer,U-13,5,999,Not Set,Not Set,Not Set,Not Set
2154,NEXT LEVEL EDP/G,Soccer,U-13,5,999,Not Set,Not Set,Not Set,Not Set
3101,NEXT LEVEL EDP/G,Soccer,U-14,5,999,Not Set,Not Set,Not Set,Not Set
3177,NORTH PLAINFIELD EDP/B,Soccer,U-15,5,999,Not Set,Not Set,Not Set,Not Set
3158,NORTHEAST CANTOLAO EDP/G,Soccer,U-15,5,999,Not Set,Not Set,Not Set,Not Set
3208,NORTHERN BURLINGTON SA  BLAST 2010,Soccer,U-13,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,F1,Not Set,Not Set
3371,NORTHERN BURLINGTON SA  BLUE DEVILS II 2014,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Set
3343,NORTHERN BURLINGTON SA  BLUE LEGENDS 2007,Soccer,U-16,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,F1,Not Set,Not Set
3368,NORTHERN BURLINGTON SA  BLUES 2013,Soccer,U-10,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,S7,Not Set,Not Set
3274,NORTHERN BURLINGTON SA  BULLDOGS 2009,Soccer,U-14,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,F1,Not Set,Not Set
3251,NORTHERN BURLINGTON SA  HOOLIGANS 2011,Soccer,U-12,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,S9,Not Set,Not Set
3303,NORTHERN BURLINGTON SA  RANGERS 2012,Soccer,U-11,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,S9,Not Set,Not Set
2213,NORTHERN BURLINGTON SA BLAST 2010,Soccer,U-13,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,F1,Not Set,Not Listed
3053,NORTHERN BURLINGTON SA BLUE DEVILS II 2014,Soccer,U-9,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,S7,Not Set,Not Set
2949,NORTHERN BURLINGTON SA BLUES 2013,Soccer,U-10,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,S7,Not Set,Not Set
2353,NORTHERN BURLINGTON SA BULLDOGS 2009,Soccer,U-14,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,F1,Not Set,Not Listed
2474,NORTHERN BURLINGTON SA HOOLIGANS 2011,Soccer,U-12,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,S9,Not Set,Not Listed
2828,NORTHERN BURLINGTON SA JACKALS 2014,Soccer,U-9,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,S7,Not Set,Not Set
3257,NORTHERN BURLINGTON SA NORTHERN BURLINGTON BOOM 20,Soccer,U-8,5,999,Not Set,Not Set,Not Set,Not Listed
2341,NORTHERN BURLINGTON SA NORTHERN BURLINGTON JACKALS,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Listed
2231,NORTHERN BURLINGTON SA RANGERS 2012,Soccer,U-11,5,999,NB- MANSFIELD TOWNSHIP ELEMENTARY SCHOOL,S9,Not Set,Not Listed
2947,OAKLYN SOCCER CLUB ROVERS 2013,Soccer,U-10,5,999,OAKLYN - Oaklyn Public School,OAKLYN PUBLIC SCHOOL,Not Set,Not Set
3018,OAKLYN SOCCER CLUB VENOM 2014,Soccer,U-9,5,999,OAKLYN - Oaklyn Public School,OAKLYN PUBLIC SCHOOL,Not Set,Not Set
3176,OCEAN TWP EDP/G,Soccer,U-12,5,999,Not Set,Not Set,Not Set,Not Set
3157,OCEAN TWP. REVOLUTIOIN EDP/G,Soccer,U-15,5,999,Not Set,Not Set,Not Set,Not Set
2784,PALMYRA RIVERTON SC B 2014,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Set
3041,PALMYRA RIVERTON SC B 2015,Soccer,U-8,5,999,Pal-Riv Charles Street School,S7,Not Set,Not Set
2763,PALMYRA RIVERTON SC FLASH 2007,Soccer,U-16,5,999,Not Set,Not Set,Not Set,Not Set
3022,PALMYRA RIVERTON SC HURRICANES 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
3218,PALMYRA RIVERTON SC NATIONALS 2015,Soccer,U-8,5,999,Not Set,Not Set,Not Set,Not Set
3260,PALMYRA RIVERTON SC TORNADOES 2014,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Set
2877,PALMYRA RIVERTON SC UNION 2010,Soccer,U-13,5,999,Not Set,Not Set,Not Set,Not Set
2924,PALMYRA RIVERTON SC WARRIORS 2011,Soccer,U-12,5,999,Pal-Riv Charles Street School,S9,Not Set,Not Set
2959,PALMYRA RIVERTON SC YOUNGBLOODS 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Listed
3091,PALUMBO ICSL/B,Soccer,U-12,5,999,COLLINGSWOOD - KROC CENTER,FS,Not Set,Not Set
3172,PDA SOUTH EDP/G,Soccer,U-11,5,999,Not Set,Not Set,Not Set,Not Set
3142,PDA SPIRIT EDP/G,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
3494,PEMBERTON SC  PUNISHERS 2011,Soccer,U-12,5,999,PEMBERTON - HIGH SCHOOL,F1,Not Set,Not Set
3478,PENNS GROVE SC  HEAT 2009,Soccer,U-14,5,999,PG-CP-PED- Carney's Point Rec Center,F1,Not Set,Not Set
3329,PENNS GROVE SC  RAGE 2011,Soccer,U-12,5,999,Not Set,Not Set,Not Set,Not Set
3409,PENNS GROVE SC  STORM 2006,Soccer,U-19,5,999,Not Set,Not Set,Not Set,Not Set
2258,PENNS GROVE SC HEAT 2009,Soccer,U-14,5,999,PG-CP-PED- Carney's Point Rec Center,F1,Not Set,Not Listed
3412,PENNS GROVE SC PENNS GROVE WILD 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
2480,PENNS GROVE SC RAGE 2011,Soccer,U-12,5,999,PG-CP-PED- Carney's Point Rec Center,S9,Not Set,Not Listed
2218,PENNS GROVE SC STORM 2006,Soccer,U-18,5,999,Not Set,Not Set,Not Set,Not Listed
3043,PENNS GROVE SCPENNS GROVE RAPTORS 2014,Soccer,U-9,5,999,PG-CP-PED- Carney's Point Rec Center,S7,Not Set,Not Set
