Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
10/01/2023,09:30,11920088,,GotSport,Soccer,U-9,CHERRY HILL FC 2015 JUNIOR RED,TBAA  REVOLUTION 2015,CHFC - DeCOU,,
10/01/2023,11:00,11919401,,GotSport,Soccer,U-12,WOODSTOWN SOCCER CLUB WOODSTOWN THUNDER 2012,HADDON TWP SOCCER CLUB HADDON TWP WHITE HAWKS 2012,WOODSTOWN,S9,
10/01/2023,11:00,11760241,,GotSport,Soccer,U-13,VOORHEES SA BLUES 2011,SENECA UNITED SC 2011 WARRIORS,VOORHEES-EASTERN HS,,
10/01/2023,11:00,11930934,,GotSport,Soccer,U-11,MARLTON SOCCER CLUB MARLTON SC CHIEFS SILVER 2013,COLLINGSWOOD TRAVEL SOCCER CLUB ROVERS 2013,MARLTON - MEMORIAL,,
10/01/2023,11:00,11740635,,GotSport,Soccer,U-13,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU) WARRIORS 2011,TBAA  TITANS 2011,MLU-TROTTERS,,
10/01/2023,11:00,11856147,,GotSport,Soccer,U-14,PITTSGROVE SOCCER CLUB PSC CRUSH '10,HADDONFIELD SC RED 2010,PITTSGROVE-GREEN BRANCH,,
10/01/2023,11:00,11881261,,GotSport,Soccer,U-15,SJ FUTBOL CLUB  RAPIDS 2009,TBAA  STORM 2009,SJFC - UPPER DEERFIELD RECREATION COMPLEX,,
10/01/2023,11:00,11927605,,GotSport,Soccer,U-19,GATEWAY UNITED SOCCER CLUB WARRIORS 2005,PENNS GROVE SC  STORM 2006,GATEWAY UTD. - WESTVILLE,,
10/01/2023,11:00,11927606,,GotSport,Soccer,U-19,MARLTON SOCCER CLUB MARLTON SC CHIEFS ORANGE 2006,WINSLOW TOWNSHIP YSA WINSLOW WOLVES 2006,MARLTON - MEMORIAL,,
10/01/2023,11:00,11673300,,GotSport,Soccer,U-14,AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON SOCCER YOUTH UNITED 2010,RANCOCAS VALLEY SC  BOYS 2010 (NEW),AUDUBON - GREEN WAVE PARK,,
10/01/2023,11:00,11672955,,GotSport,Soccer,U-15,HARRISON SC  BLUE DEVILS 2009,TAR-KILL SOCCER CLUB TARKILL BLUE DEVILS,HARRISON - William Wilt Soccer Complex,F2,
10/01/2023,11:00,11722721,,GotSport,Soccer,U-9,CHERRY HILL SC CHERRY HILL SC WARRIORS 2015,COHANSEY SC  DYNASTY 2015,CHSC - UPPER CHAPEL TURF,S7,
10/01/2023,11:00,11812547,,GotSport,Soccer,U-11,MOUNT LAUREL UNITED (MLU) OUNT LAUREL UNITED (MLU) TIGERS 2013,WASHINGTON TWP SOCCER CLUB RAPTORS 2013,MLU-TROTTERS,,
10/01/2023,11:30,11930507,,GotSport,Soccer,U-13,PENNSAUKEN YOUTH SOCCER CLUB WARRIORS 2011,SWEDESBORO WOOLWICH SOCCER ASSOC. SWSA RED FLAMES 2011,Pennsauken Community Recreation Facility,F1,
10/01/2023,12:00,11742678,,GotSport,Soccer,U-10,LOGAN SOCCER CLUB  LOGAN CHARGE 2014,LOGAN SOCCER CLUB  LOGAN LIGHTNING 2014,LOGAN - TWP LINE,S7,
10/01/2023,12:00,11856933,,GotSport,Soccer,U-15,MANTUA TOWNSHIP SA  STRIKERS 2009,DEPTFORD SA DEPTFORD AVENGERS 2009,MANTUA TWP,,
10/01/2023,12:00,11674154,,GotSport,Soccer,U-9,WEST DEPTFORD SC ANIMALS 2015,RANCOCAS VALLEY SC  BOYS STEALTH 2015,W DEPTFORD-WD PARK,,
10/01/2023,12:00,11927604,,GotSport,Soccer,U-19,HIGHLAND YOUTH SOCCER CLUB THRASHERS 2006,MEDFORD SC  ARSENAL 2005,HIGHLAND - GLOUCESTER TWP PARK,,
10/01/2023,12:00,11720744,,GotSport,Soccer,U-9,HADDONFIELD SC WHITE 2015,VINELAND SA AVENGERS 2015,HADDONFIELD - CROWS WOODS,S7,
10/01/2023,12:00,11919085,,GotSport,Soccer,U-12,VINELAND SA FURY 2012,MARLTON SOCCER CLUB MARLTON SC CHIEFS WHITE 2012,VINELAND SA,S9,
10/01/2023,12:00,11672954,,GotSport,Soccer,U-15,WINSLOW TOWNSHIP YSA WINSLOW VIPERS 2009,MARLTON SOCCER CLUB MARLTON SC CHIEFS ORANGE 2009,WINSLOW TWP - PETER VOLPA,F1,
10/01/2023,12:00,11722983,,GotSport,Soccer,U-15,EGG HARBOR TOWNSHIP SC EGG HARBOR SC EAGLES 2009,CHERRY HILL FC  DRAGONS 2009,EGG HARBOR - BARGAINTOWN,F1,
