Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
08/24/2023,18:00,11976232,,GotSport,Soccer,U-9,BERLIN SOCCER CLUB BERSERKERS 2015,HAMMONTON YSA HAMMONTON HEAT 2015,BERLIN SC - FRANKLIN FIELDS,,
08/29/2023,18:30,12259882,,GotSport,Soccer,U-9,TBAA  REVOLUTION 2015,HADDON TWP SOCCER CLUB HADDON TWP WHITE HAWKS 2015,TBAA-VALLEY BROOK,S7,
09/10/2023,11:00,11740596,,GotSport,Soccer,U-9,CHERRY HILL SC CHERRY HILL SC TBD (2015) - BOYS,BURLINGTON TOWNSHIP SOCCER PHOENIX 2015,CHSC - UPPER CHAPEL TURF,S7,
09/10/2023,11:00,11916663,,GotSport,Soccer,U-13,HAMMONTON YSA HAMMONTON HEAT 2011,MEDFORD SC  COLUMBIA 2011,HAMMONTON - BOYER FIELD,,
09/10/2023,11:00,11672945,,GotSport,Soccer,U-15,TAR-KILL SOCCER CLUB TARKILL BLUE DEVILS,MEDFORD SC  GOLD 2009,TARKILL-STERLING HS,F1,
09/10/2023,11:00,11856137,,GotSport,Soccer,U-14,DEPTFORD SA DEPTFORD DEMONS 2010,HADDONFIELD SC RED 2010,DEPTFORD SC,,
09/10/2023,11:00,11673293,,GotSport,Soccer,U-14,WASHINGTON TWP SOCCER CLUB REVOLUTION 2010,BERLIN SOCCER CLUB BRAWLERS 2010,WASHINGTON TWP-WASH LAKE PARK,,
09/10/2023,11:00,11672942,,GotSport,Soccer,U-15,WINSLOW TOWNSHIP YSA WINSLOW VIPERS 2009,HADDONFIELD SC BLACK 2009,WINSLOW TWP - PETER VOLPA,F1,
09/10/2023,11:00,11722910,,GotSport,Soccer,U-12,EGG HARBOR TOWNSHIP SC EGG HARBOR SC EAGLES BLACK 2012,WASHINGTON TWP SOCCER CLUB PREDATORS 2012,EGG HARBOR - BARGAINTOWN,S9,
09/10/2023,11:00,11930927,,GotSport,Soccer,U-11,MOORESTOWN SC FALCONS 2013,PALMYRA RIVERTON SC HURRICANES 2013,MOORESTOWN - SALEM RD/PRYOR PARK,S1,
09/10/2023,11:00,11740657,,GotSport,Soccer,U-12,CHERRY HILL SC  ROYALS 2012,LOGAN SOCCER CLUB  LOGAN FORCE 2012,CHSC - UPPER CHAPEL TURF,S9,
09/10/2023,11:00,11765590,,GotSport,Soccer,U-13,HARRISON SC  THUNDER 2011,MEDFORD STRIKERS SC MEDFORD STRIKERS 2011 BOYS,HARRISON - William Wilt Soccer Complex,,
09/10/2023,11:30,11673292,,GotSport,Soccer,U-14,AUDUBON SOCCER YOUTH ASSOCIATION AUDUBON SOCCER YOUTH UNITED 2010,PALMYRA RIVERTON SC UNION 2010,AUDUBON - GREEN WAVE PARK,,
09/10/2023,11:30,11672944,,GotSport,Soccer,U-15,MARLTON SOCCER CLUB MARLTON SC CHIEFS ORANGE 2009,MAPLE SHADE SC MAPLE SHADE BLUE FLAMES 2009,MARLTON - MEMORIAL,,
09/10/2023,12:00,11856202,,GotSport,Soccer,U-11,TBAA  UNION 2013,MOORESTOWN SC GOLDEN EAGLES 2013,TBAA-VALLEY BROOK,,
