Date,Time,Game ID,Custom Game ID,Partner,Sport,Level,Home Team,Away Team,Site,Subsite,BillTo
10/02/2024,18:30,16794382,,GotSport,Soccer,U-14,CLAYTON SA CLIPPERS 2011/2012,WASHINGTON TWP SOCCER CLUB CHAOS 11/12,CLAYTON - BENTZ,,
10/04/2024,18:30,16794914,,GotSport,Soccer,U-11,CHERRY HILL SC CHERRY HILL SC UNION 2015,CHERRY HILL SC CHERRY HILL SC UNITED 2014,CHSC - UPPER CHAPEL TURF,,
10/04/2024,18:30,16795691,,GotSport,Soccer,U-10,CHERRY HILL SC CHERRY HILL SC COMETS (2015) - BOYS,CINNAMINSON SC PIRATES SEA DOGS 2015,CHSC - UPPER CHAPEL TURF,,
10/05/2024,12:30,17714880,,GotSport,Soccer,U-11,HARRISON STRIKERS 2014,WATERFORD ATHLETIC ASSN WINGS 2014,HARRISON - William Wilt Soccer Complex,,
10/06/2024,10:00,16795247,,GotSport,Soccer,U-15,EAST GREENWICH SA EGSA BLAZE 2010,WASHINGTON TWP SOCCER CLUB RENEGADES 2010,E GREENWICH - THOMPSON FAMILY PARK,,
10/06/2024,10:30,16796726,,GotSport,Soccer,U-8,RANCOCAS VALLEY SC 2017 BOYS PREMIER,CHERRY HILL FC 2017 JUNIORS BLACK,Rancocas Valley-LUMBERTON MUNICIPAL,,
10/06/2024,11:00,16796103,,GotSport,Soccer,U-19,MEDFORD SC ,HIGHLAND YOUTH SOCCER CLUB GALAXY 2008,MEDFORD - BENDE PARK,,
10/06/2024,11:00,16796301,,GotSport,Soccer,U-15,CINNAMINSON SC PIRATES 2010,TBAA DYNAMO 2010,CINNAMINSON SC - MEMORIAL,,
10/06/2024,11:00,16794453,,GotSport,Soccer,U-12,MAPLE SHADE FORCE 2013,HADDON TWP WHITE HAWKS 2013,MAPLE SHADE - TURF FIELD,,
10/06/2024,11:00,16795171,,GotSport,Soccer,U-15,DEPTFORD BRUTE FORCE 2010,HADDONFIELD SC WHITE 2010,DEPTFORD SC,,
10/06/2024,11:00,16796497,,GotSport,Soccer,U-8,PITTSGROVE SOCCER CLUB PSC RAPTORS ‘17,MAINLAND UNITED SA MUSTANGS RED 2017 B,PITTSGROVE-GREEN BRANCH,,
10/06/2024,11:00,16795367,,GotSport,Soccer,U-10,BERLIN SOCCER CLUB BERSERKERS 2015,VOORHEES SA COBRAS 2015,BERLIN SC - FRANKLIN FIELDS,,
10/06/2024,11:00,16795320,,GotSport,Soccer,U-14,HARRISON SC THUNDER 2011,MOUNT LAUREL UNITED (MLU) FLASH 2011,HARRISON - William Wilt Soccer Complex,,
10/06/2024,11:00,16795595,,GotSport,Soccer,U-12,NORTHERN BURLINGTON SA BLUES 2013,PITTSGROVE SOCCER CLUB PSC PYTHONS '13,NB Georgetown Park,,
